distance,consume,speed,temp_inside,temp_outside,gas_type,ac,l/km,temp_ratio,temp_delta
28.0,5.0,26,21.5,12,E10,0,0.18,1.79,9.5
12.0,4.2,30,21.5,13,E10,0,0.35,1.65,8.5
11.2,5.5,38,21.5,15,E10,0,0.49,1.43,6.5
12.9,3.9,36,21.5,14,E10,0,0.3,1.54,7.5
18.5,4.5,46,21.5,15,E10,0,0.24,1.43,6.5
8.3,6.4,50,21.5,10,E10,0,0.77,2.15,11.5
7.8,4.4,43,21.5,11,E10,0,0.56,1.95,10.5
12.3,5.0,40,21.5,6,E10,0,0.41,3.58,15.5
4.9,6.4,26,21.5,4,E10,0,1.31,5.38,17.5
11.9,5.3,30,21.5,9,E10,0,0.45,2.39,12.5
12.4,5.6,42,21.5,4,E10,0,0.45,5.38,17.5
11.8,4.6,38,21.5,0,E10,0,0.39,inf,21.5
12.3,5.9,59,21.5,10,E10,0,0.48,2.15,11.5
24.7,5.1,58,21.5,12,E10,0,0.21,1.79,9.5
12.4,4.7,46,21.5,11,E10,0,0.38,1.95,10.5
17.3,5.1,24,21.5,5,E10,0,0.29,4.3,16.5
33.4,5.6,36,21.5,3,E10,0,0.17,7.17,18.5
11.8,5.1,32,21.5,3,E10,0,0.43,7.17,18.5
25.9,4.9,39,21.5,8,E10,0,0.19,2.69,13.5
11.8,4.7,40,21.5,4,E10,0,0.4,5.38,17.5
25.3,5.5,32,21.5,3,E10,0,0.22,7.17,18.5
14.2,5.9,38,21.5,1,E10,0,0.42,21.5,20.5
17.9,5.7,37,21.5,1,E10,0,0.32,21.5,20.5
11.8,4.7,36,21.5,1,E10,0,0.4,21.5,20.5
12.3,5.9,62,21.5,6,E10,0,0.48,3.58,15.5
12.4,4.1,57,21.5,9,E10,0,0.33,2.39,12.5
18.4,5.7,21,22.5,2,E10,0,0.31,11.25,20.5
18.4,5.8,28,21.5,3,E10,0,0.32,7.17,18.5
18.3,5.5,29,21.5,1,E10,0,0.3,21.5,20.5
18.4,5.7,35,21.5,4,E10,0,0.31,5.38,17.5
12.3,5.3,51,21.5,11,E10,0,0.43,1.95,10.5
11.8,5.0,29,21.5,10,E10,0,0.42,2.15,11.5
12.3,5.6,58,21.5,8,E10,0,0.46,2.69,13.5
32.6,4.8,40,21.5,7,E10,0,0.15,3.07,14.5
19.0,4.3,36,21.5,7,E10,0,0.23,3.07,14.5
12.1,5.7,36,21.5,8,E10,0,0.47,2.69,13.5
20.0,5.2,37,21.5,4,E10,0,0.26,5.38,17.5
4.9,7.4,26,21.5,6,E10,0,1.51,3.58,15.5
11.8,4.8,23,21.5,9,E10,0,0.41,2.39,12.5
12.3,6.5,58,21.5,7,E10,0,0.53,3.07,14.5
12.4,4.0,55,21.5,7,E10,1,0.32,3.07,14.5
4.5,5.0,29,21.5,7,E10,1,1.11,3.07,14.5
11.7,4.6,37,21.5,6,E10,0,0.39,3.58,15.5
10.2,4.3,44,21.5,7,E10,0,0.42,3.07,14.5
5.4,3.3,32,21.5,7,SP98,0,0.61,3.07,14.5
2.0,9.9,21,21.5,4,SP98,0,4.95,5.38,17.5
14.2,5.1,32,21.5,7,SP98,0,0.36,3.07,14.5
16.0,4.9,25,21.5,8,SP98,0,0.31,2.69,13.5
11.8,4.9,25,21.5,11,SP98,0,0.42,1.95,10.5
27.3,4.7,36,21.5,10,SP98,0,0.17,2.15,11.5
11.8,5.1,29,21.5,5,SP98,0,0.43,4.3,16.5
10.6,4.9,63,21.5,6,SP98,0,0.46,3.58,15.5
11.6,4.2,61,21.5,7,SP98,0,0.36,3.07,14.5
13.1,6.1,46,21.5,6,SP98,0,0.47,3.58,15.5
6.1,6.4,28,21.5,8,SP98,0,1.05,2.69,13.5
153.5,4.9,82,21.5,3,SP98,0,0.03,7.17,18.5
11.8,4.9,24,21.5,7,SP98,0,0.42,3.07,14.5
12.3,6.2,61,21.5,8,SP98,0,0.5,2.69,13.5
12.4,4.2,57,21.5,8,SP98,0,0.34,2.69,13.5
12.3,5.7,52,21.5,8,SP98,0,0.46,2.69,13.5
2.9,7.9,18,21.5,9,SP98,1,2.72,2.39,12.5
2.1,12.2,23,21.5,9,SP98,1,5.81,2.39,12.5
9.8,5.8,24,21.5,6,SP98,0,0.59,3.58,15.5
6.8,5.3,26,21.5,6,SP98,0,0.78,3.58,15.5
12.4,5.4,24,21.5,7,SP98,0,0.44,3.07,14.5
12.4,4.7,57,21.5,8,SP98,0,0.38,2.69,13.5
11.8,4.6,41,21.5,6,SP98,0,0.39,3.58,15.5
12.3,5.4,55,21.5,8,SP98,0,0.44,2.69,13.5
14.0,4.3,40,21.5,8,SP98,0,0.31,2.69,13.5
11.8,4.5,37,21.5,4,SP98,1,0.38,5.38,17.5
12.3,5.2,55,21.5,12,SP98,0,0.42,1.79,9.5
2.0,6.2,20,21.5,10,SP98,0,3.1,2.15,11.5
13.9,5.1,29,21.5,6,SP98,0,0.37,3.58,15.5
9.7,3.9,42,21.5,8,SP98,0,0.4,2.69,13.5
11.6,5.0,25,21.5,6,SP98,0,0.43,3.58,15.5
14.2,5.4,38,21.5,7,SP98,0,0.38,3.07,14.5
11.8,4.5,39,21.5,6,SP98,0,0.38,3.58,15.5
24.8,5.1,50,21.5,9,SP98,0,0.21,2.39,12.5
12.4,4.7,56,21.5,7,SP98,0,0.38,3.07,14.5
34.8,4.0,28,20.0,4,SP98,0,0.11,5.0,16.0
14.2,5.4,36,20.0,6,SP98,0,0.38,3.33,14.0
5.2,4.5,39,20.0,10,SP98,0,0.87,2.0,10.0
10.5,3.6,42,20.0,10,SP98,0,0.34,2.0,10.0
12.3,5.2,57,20.0,10,SP98,0,0.42,2.0,10.0
11.8,4.9,25,20.0,11,SP98,0,0.42,1.82,9.0
12.3,6.2,58,20.0,11,SP98,0,0.5,1.82,9.0
13.2,4.3,51,20.0,11,SP98,0,0.33,1.82,9.0
13.0,5.0,45,20.0,11,SP98,0,0.38,1.82,9.0
12.9,5.1,32,20.0,11,SP98,0,0.4,1.82,9.0
13.9,5.6,22,20.0,8,SP98,0,0.4,2.5,12.0
11.8,4.3,37,20.0,6,SP98,0,0.36,3.33,14.0
12.2,5.8,60,20.0,11,SP98,0,0.48,1.82,9.0
12.5,4.0,51,20.0,13,SP98,0,0.32,1.54,7.0
12.4,4.7,43,21.929521276595743,10,SP98,0,0.38,2.19,11.93
11.8,5.9,21,20.0,9,SP98,1,0.5,2.22,11.0
11.8,5.3,52,21.929521276595743,11,SP98,0,0.45,1.99,10.93
12.5,4.2,57,20.0,11,SP98,0,0.34,1.82,9.0
15.7,5.3,33,21.929521276595743,9,SP98,0,0.34,2.44,12.93
12.9,5.7,35,21.929521276595743,9,SP98,0,0.44,2.44,12.93
6.4,4.4,37,21.929521276595743,10,SP98,0,0.69,2.19,11.93
5.3,4.1,34,21.929521276595743,9,SP98,0,0.77,2.44,12.93
26.2,5.8,71,21.0,8,SP98,1,0.22,2.62,13.0
18.8,5.0,62,21.929521276595743,9,SP98,0,0.27,2.44,12.93
4.9,6.9,25,21.0,12,SP98,0,1.41,1.75,9.0
12.4,5.4,18,21.0,11,SP98,1,0.44,1.91,10.0
22.9,5.3,45,20.5,7,SP98,0,0.23,2.93,13.5
162.7,5.5,75,23.0,1,SP98,0,0.03,23.0,22.0
4.9,6.5,26,21.0,1,SP98,0,1.33,21.0,20.0
11.8,4.7,36,21.0,4,SP98,0,0.4,5.25,17.0
16.6,5.1,56,21.0,7,SP98,0,0.31,3.0,14.0
12.4,5.7,37,21.0,7,SP98,0,0.46,3.0,14.0
15.9,5.4,25,21.0,7,SP98,0,0.34,3.0,14.0
5.1,8.7,21,23.5,5,SP98,0,1.71,4.7,18.5
22.4,4.9,66,20.5,7,SP98,0,0.22,2.93,13.5
31.1,4.7,42,20.5,7,SP98,0,0.15,2.93,13.5
4.9,6.3,27,20.5,3,SP98,0,1.29,6.83,17.5
11.8,5.1,26,23.0,4,SP98,0,0.43,5.75,19.0
22.9,6.0,42,23.0,4,SP98,0,0.26,5.75,19.0
12.4,4.6,38,23.0,1,SP98,0,0.37,23.0,22.0
12.9,5.8,40,23.0,4,SP98,0,0.45,5.75,19.0
11.8,5.1,43,23.0,0,SP98,0,0.43,inf,23.0
12.2,5.8,58,23.0,2,SP98,0,0.48,11.5,21.0
24.8,4.6,55,23.0,3,SP98,0,0.19,7.67,20.0
14.2,5.6,24,23.0,8,SP98,0,0.39,2.88,15.0
11.8,4.6,38,23.0,0,SP98,0,0.39,inf,23.0
12.2,6.3,57,23.0,0,SP98,0,0.52,inf,23.0
24.7,5.5,56,25.0,1,SP98,0,0.22,25.0,24.0
6.8,4.3,46,24.0,2,SP98,0,0.63,12.0,22.0
17.3,5.6,37,21.5,1,SP98,0,0.32,21.5,20.5
11.8,4.3,44,21.5,-3,SP98,0,0.36,-7.17,24.5
15.9,5.7,46,21.5,5,SP98,0,0.36,4.3,16.5
5.1,6.4,39,21.5,4,SP98,0,1.25,5.38,17.5
16.1,4.5,33,21.5,6,SP98,0,0.28,3.58,15.5
11.8,4.5,43,21.5,3,SP98,0,0.38,7.17,18.5
4.2,6.0,26,21.5,5,SP98,0,1.43,4.3,16.5
17.4,5.1,30,21.5,5,SP98,0,0.29,4.3,16.5
23.5,6.0,25,21.5,5,SP98,0,0.26,4.3,16.5
11.8,4.5,38,21.5,5,SP98,0,0.38,4.3,16.5
12.3,6.1,61,21.5,10,SP98,0,0.5,2.15,11.5
16.1,5.4,24,21.5,7,E10,0,0.34,3.07,14.5
11.8,4.3,40,21.5,10,E10,0,0.36,2.15,11.5
12.3,5.4,58,21.5,13,E10,0,0.44,1.65,8.5
12.4,4.3,49,21.5,17,E10,0,0.35,1.26,4.5
7.0,5.2,25,21.5,17,E10,0,0.74,1.26,4.5
11.8,4.1,37,21.5,10,E10,0,0.35,2.15,11.5
20.1,4.4,41,21.5,18,E10,0,0.22,1.19,3.5
20.8,4.5,45,21.5,10,E10,0,0.22,2.15,11.5
1.7,10.8,14,21.5,10,E10,0,6.35,2.15,11.5
35.9,4.7,45,21.5,12,E10,0,0.13,1.79,9.5
36.9,4.8,52,21.5,5,E10,0,0.13,4.3,16.5
16.8,4.0,46,21.5,8,E10,0,0.24,2.69,13.5
9.9,5.0,28,21.5,9,E10,0,0.51,2.39,12.5
22.9,4.6,61,21.5,7,E10,0,0.2,3.07,14.5
17.3,5.0,61,21.5,6,E10,1,0.29,3.58,15.5
11.8,4.3,37,21.5,7,E10,0,0.36,3.07,14.5
36.6,5.2,80,21.5,7,E10,0,0.14,3.07,14.5
44.9,4.7,62,21.5,8,E10,0,0.1,2.69,13.5
11.8,4.2,34,21.5,9,E10,0,0.36,2.39,12.5
21.6,5.3,44,21.5,9,E10,0,0.25,2.39,12.5
39.4,5.3,60,21.5,9,E10,0,0.13,2.39,12.5
5.1,8.1,39,21.5,4,E10,0,1.59,5.38,17.5
26.6,4.8,38,21.5,7,E10,0,0.18,3.07,14.5
53.2,5.1,71,21.5,2,E10,0,0.1,10.75,19.5
18.9,4.4,53,21.5,2,E10,0,0.23,10.75,19.5
43.5,5.0,80,21.5,3,E10,0,0.11,7.17,18.5
6.1,6.3,26,21.5,5,E10,0,1.03,4.3,16.5
16.4,4.8,49,21.5,5,E10,0,0.29,4.3,16.5
12.3,6.1,40,21.5,6,E10,0,0.5,3.58,15.5
21.1,4.6,36,21.5,8,E10,0,0.22,2.69,13.5
21.1,4.8,43,21.5,7,E10,0,0.23,3.07,14.5
22.7,4.7,55,21.5,6,E10,0,0.21,3.58,15.5
44.4,4.8,38,21.5,8,E10,0,0.11,2.69,13.5
35.8,4.4,51,21.5,6,E10,0,0.12,3.58,15.5
11.8,4.9,44,21.5,0,E10,0,0.42,inf,21.5
26.2,4.9,42,21.5,6,E10,0,0.19,3.58,15.5
40.6,4.4,44,21.0,3,E10,0,0.11,7.0,18.0
12.4,5.3,38,21.0,-5,E10,0,0.43,-4.2,26.0
14.1,5.3,47,21.0,-3,E10,0,0.38,-7.0,24.0
58.7,4.8,75,21.0,0,E10,0,0.08,inf,21.0
16.2,5.2,29,21.0,0,E10,0,0.32,inf,21.0
12.3,4.9,50,22.5,0,E10,0,0.4,inf,22.5
12.3,7.1,52,22.5,0,E10,1,0.58,inf,22.5
12.4,5.2,51,22.5,1,E10,0,0.42,22.5,21.5
31.8,4.7,59,22.5,3,E10,0,0.15,7.5,19.5
12.3,5.1,55,22.5,8,E10,0,0.41,2.81,14.5
51.6,5.0,73,22.5,12,E10,0,0.1,1.88,10.5
38.6,4.6,44,22.5,10,E10,0,0.12,2.25,12.5
12.3,4.8,41,22.5,7,E10,0,0.39,3.21,15.5
81.2,4.4,69,22.0,13,E10,0,0.05,1.69,9.0
130.3,4.6,85,22.0,12,E10,0,0.04,1.83,10.0
67.2,4.3,67,22.0,18,E10,0,0.06,1.22,4.0
43.7,4.7,44,22.0,9,SP98,0,0.11,2.44,13.0
12.1,4.2,43,22.0,4,SP98,0,0.35,5.5,18.0
56.1,4.8,82,22.0,13,SP98,0,0.09,1.69,9.0
39.0,4.1,61,22.0,16,SP98,0,0.11,1.38,6.0
11.8,4.5,41,21.5,13,SP98,0,0.38,1.65,8.5
38.5,4.8,63,21.5,14,SP98,0,0.12,1.54,7.5
28.2,4.6,54,21.5,14,SP98,0,0.16,1.54,7.5
2.9,7.4,24,21.5,14,SP98,0,2.55,1.54,7.5
6.1,5.6,24,21.5,13,SP98,0,0.92,1.65,8.5
19.6,4.9,43,21.5,13,SP98,0,0.25,1.65,8.5
22.2,3.8,42,21.929521276595743,15,SP98,0,0.17,1.46,6.93
13.6,4.5,44,19.0,18,SP98,0,0.33,1.06,1.0
12.6,4.1,33,21.929521276595743,17,SP98,0,0.33,1.29,4.93
8.7,5.3,28,22.5,12,SP98,1,0.61,1.88,10.5
7.9,4.7,31,22.5,12,SP98,1,0.59,1.88,10.5
2.4,9.0,26,20.0,10,SP98,0,3.75,2.0,10.0
4.9,6.3,26,20.0,10,SP98,0,1.29,2.0,10.0
18.1,3.6,36,20.0,19,SP98,0,0.2,1.05,1.0
25.9,3.7,39,20.0,21,SP98,0,0.14,0.95,-1.0
1.3,11.5,21,20.0,10,SP98,0,8.85,2.0,10.0
14.1,5.0,22,20.0,12,SP98,0,0.35,1.67,8.0
13.4,5.5,31,20.0,9,SP98,0,0.41,2.22,11.0
6.4,4.7,33,20.0,8,SP98,0,0.73,2.5,12.0
12.9,4.5,42,20.0,13,SP98,0,0.35,1.54,7.0
12.1,4.4,33,22.5,5,SP98,0,0.36,4.5,17.5
15.7,4.1,32,22.5,13,SP98,0,0.26,1.73,9.5
16.2,4.4,26,22.5,11,SP98,0,0.27,2.05,11.5
12.8,4.6,22,22.5,12,SP98,0,0.36,1.88,10.5
19.0,4.4,58,22.5,17,SP98,0,0.23,1.32,5.5
29.0,4.0,27,22.5,12,SP98,0,0.14,1.88,10.5
12.1,5.0,32,22.5,9,SP98,0,0.41,2.5,13.5
12.3,5.2,55,22.5,10,SP98,0,0.42,2.25,12.5
24.8,4.0,56,22.5,11,SP98,0,0.16,2.05,11.5
12.9,5.1,34,22.5,8,SP98,0,0.4,2.81,14.5
11.8,4.5,39,22.5,3,SP98,0,0.38,7.5,19.5
31.4,4.6,62,22.5,11,SP98,0,0.15,2.05,11.5
19.0,5.1,53,22.5,4,SP98,0,0.27,5.62,18.5
13.0,5.7,38,22.5,3,SP98,1,0.44,7.5,19.5
11.8,4.8,42,22.5,2,SP98,0,0.41,11.25,20.5
13.0,6.2,32,22.5,4,SP98,0,0.48,5.62,18.5
11.8,5.0,43,22.5,1,SP98,0,0.42,22.5,21.5
27.1,5.0,69,22.5,8,SP98,0,0.18,2.81,14.5
5.2,4.6,38,22.5,8,SP98,0,0.88,2.81,14.5
19.0,4.5,29,22.5,10,E10,0,0.24,2.25,12.5
12.4,4.8,38,22.5,1,E10,0,0.39,22.5,21.5
25.2,5.0,55,22.5,9,E10,0,0.2,2.5,13.5
14.3,4.8,36,22.5,10,E10,0,0.34,2.25,12.5
11.8,4.6,40,22.5,2,E10,0,0.39,11.25,20.5
16.9,4.5,48,22.5,9,E10,0,0.27,2.5,13.5
12.4,4.6,55,22.5,11,E10,0,0.37,2.05,11.5
17.4,4.4,36,22.5,12,E10,0,0.25,1.88,10.5
9.2,5.7,33,22.5,8,E10,0,0.62,2.81,14.5
12.3,5.8,54,22.5,10,E10,0,0.47,2.25,12.5
13.0,5.9,32,22.5,10,E10,0,0.45,2.25,12.5
11.8,6.1,16,22.5,6,E10,0,0.52,3.75,16.5
13.0,5.7,37,22.5,11,E10,0,0.44,2.05,11.5
12.3,5.0,42,22.5,10,E10,0,0.41,2.25,12.5
12.3,5.2,57,22.5,15,E10,0,0.42,1.5,7.5
12.5,4.3,57,22.5,16,E10,0,0.34,1.41,6.5
31.5,4.1,30,22.5,16,E10,0,0.13,1.41,6.5
11.8,4.4,42,22.5,8,E10,0,0.37,2.81,14.5
24.9,4.5,53,22.5,14,E10,0,0.18,1.61,8.5
17.0,3.9,46,22.5,14,E10,0,0.23,1.61,8.5
2.0,8.1,20,22.5,14,E10,0,4.05,1.61,8.5
11.8,4.4,33,22.5,8,E10,0,0.37,2.81,14.5
7.4,5.0,31,22.5,12,E10,0,0.68,1.88,10.5
12.4,4.7,55,22.5,14,E10,0,0.38,1.61,8.5
2.0,6.0,22,22.5,14,E10,0,3.0,1.61,8.5
14.0,5.0,41,22.5,8,E10,0,0.36,2.81,14.5
25.7,5.0,45,22.5,7,E10,0,0.19,3.21,15.5
24.5,3.9,50,21.929521276595743,15,E10,0,0.16,1.46,6.93
11.8,4.5,28,22.5,12,E10,0,0.38,1.88,10.5
4.1,5.4,24,22.5,13,E10,0,1.32,1.73,9.5
4.2,5.6,29,22.0,17,E10,0,1.33,1.29,5.0
4.2,3.9,29,22.0,18,E10,0,0.93,1.22,4.0
16.0,4.0,40,22.0,10,E10,0,0.25,2.2,12.0
22.9,4.0,29,21.929521276595743,21,E10,0,0.17,1.04,0.93
16.0,3.8,42,21.929521276595743,8,E10,0,0.24,2.74,13.93
15.4,4.5,50,22.0,14,E10,0,0.29,1.57,8.0
16.0,3.8,41,22.0,12,E10,0,0.24,1.83,10.0
4.2,5.6,32,22.0,18,E10,0,1.33,1.22,4.0
101.9,5.2,75,22.0,18,E10,0,0.05,1.22,4.0
93.9,4.8,88,23.0,18,E10,1,0.05,1.28,5.0
25.7,4.9,50,22.0,10,SP98,0,0.19,2.2,12.0
16.0,4.1,40,22.0,10,SP98,0,0.26,2.2,12.0
16.1,4.5,32,22.0,19,SP98,0,0.28,1.16,3.0
16.0,4.4,40,22.0,7,SP98,1,0.28,3.14,15.0
16.0,4.5,41,22.0,11,SP98,0,0.28,2.0,11.0
24.7,4.5,26,22.0,10,SP98,0,0.18,2.2,12.0
16.0,3.9,42,22.0,8,SP98,0,0.24,2.75,14.0
15.4,4.6,43,22.0,16,SP98,0,0.3,1.38,6.0
16.0,3.8,40,22.0,8,SP98,0,0.24,2.75,14.0
32.1,4.5,50,22.0,16,SP98,0,0.14,1.38,6.0
25.9,4.4,40,22.0,14,SP98,0,0.17,1.57,8.0
48.6,4.3,44,22.0,12,SP98,0,0.09,1.83,10.0
37.2,4.0,45,22.0,20,SP98,0,0.11,1.1,2.0
28.8,3.9,35,22.0,15,SP98,0,0.14,1.47,7.0
6.7,5.0,30,22.0,17,SP98,0,0.75,1.29,5.0
7.4,4.1,25,22.0,18,SP98,0,0.55,1.22,4.0
17.3,4.1,22,22.0,25,SP98,0,0.24,0.88,-3.0
6.6,5.6,43,22.0,16,SP98,0,0.85,1.38,6.0
14.3,4.1,26,22.0,20,SP98,0,0.29,1.1,2.0
13.3,4.6,33,22.0,18,SP98,0,0.35,1.22,4.0
8.3,4.9,26,22.0,23,SP98,0,0.59,0.96,-1.0
12.7,4.5,39,22.0,27,SP98,0,0.35,0.81,-5.0
16.5,4.1,47,22.0,14,SP98,0,0.25,1.57,8.0
20.6,4.1,38,22.0,21,SP98,0,0.2,1.05,1.0
16.3,4.5,58,22.0,16,SP98,0,0.28,1.38,6.0
18.7,4.2,65,25.0,18,SP98,1,0.22,1.39,7.0
36.5,3.9,54,23.0,18,SP98,0,0.11,1.28,5.0
19.0,5.0,35,22.0,15,SP98,1,0.26,1.47,7.0
16.6,4.4,46,22.0,5,SP98,1,0.27,4.4,17.0
29.9,4.5,32,22.0,18,SP98,1,0.15,1.22,4.0
16.0,3.8,42,22.0,11,SP98,0,0.24,2.0,11.0
21.1,5.1,33,22.0,10,SP98,0,0.24,2.2,12.0
16.0,3.9,40,22.0,10,SP98,0,0.24,2.2,12.0
11.9,5.3,34,22.0,13,SP98,0,0.45,1.69,9.0
10.1,4.2,35,22.0,16,SP98,0,0.42,1.38,6.0
31.9,4.3,33,22.0,16,SP98,0,0.13,1.38,6.0
18.7,4.0,60,22.0,13,SP98,0,0.21,1.69,9.0
10.8,4.7,48,22.0,17,SP98,0,0.44,1.29,5.0
19.8,4.0,56,22.0,17,SP98,0,0.2,1.29,5.0
11.3,4.3,38,22.0,17,SP98,0,0.38,1.29,5.0
11.5,5.3,53,22.0,15,SP98,0,0.46,1.47,7.0
21.4,5.2,51,22.0,13,SP98,0,0.24,1.69,9.0
32.0,4.9,53,22.0,15,SP98,0,0.15,1.47,7.0
41.9,4.7,53,22.0,14,SP98,0,0.11,1.57,8.0
211.0,4.6,80,22.0,20,SP98,0,0.02,1.1,2.0
216.1,5.3,90,22.0,21,SP98,0,0.02,1.05,1.0
25.5,3.6,27,22.0,27,SP98,0,0.14,0.81,-5.0
16.6,4.2,52,22.0,15,SP98,0,0.25,1.47,7.0
25.9,4.1,43,22.0,24,SP98,0,0.16,0.92,-2.0
16.5,4.0,48,22.0,15,SP98,0,0.24,1.47,7.0
22.1,3.9,29,22.0,26,SP98,0,0.18,0.85,-4.0
16.6,3.7,49,22.0,17,E10,0,0.22,1.29,5.0
15.4,4.5,43,22.0,24,E10,0,0.29,0.92,-2.0
16.5,3.9,43,22.0,17,E10,0,0.24,1.29,5.0
15.4,5.1,21,22.0,24,E10,0,0.33,0.92,-2.0
18.4,4.2,59,22.0,24,E10,0,0.23,0.92,-2.0
39.5,4.2,58,22.0,25,E10,0,0.11,0.88,-3.0
21.5,4.8,47,25.0,27,E10,1,0.22,0.93,-2.0
4.8,4.7,26,25.0,18,E10,0,0.98,1.39,7.0
100.9,4.7,87,23.5,22,E10,0,0.05,1.07,1.5
129.7,4.6,58,24.0,21,E10,0,0.04,1.14,3.0
16.6,3.8,43,21.5,16,E10,0,0.23,1.34,5.5
15.4,4.2,50,21.5,21,E10,0,0.27,1.02,0.5
16.0,3.7,45,22.0,17,E10,0,0.23,1.29,5.0
16.0,4.2,41,22.0,15,E10,0,0.26,1.47,7.0
15.4,4.1,45,22.0,24,E10,0,0.27,0.92,-2.0
16.0,4.0,43,22.0,16,E10,0,0.25,1.38,6.0
21.0,3.8,37,22.0,21,E10,0,0.18,1.05,1.0
15.4,3.8,47,22.0,24,E10,0,0.25,0.92,-2.0
16.0,3.8,42,22.0,17,E10,0,0.24,1.29,5.0
16.1,5.1,30,25.0,16,E10,1,0.32,1.56,9.0
16.0,4.0,42,22.0,15,E10,0,0.25,1.47,7.0
15.4,4.8,40,22.0,18,E10,0,0.31,1.22,4.0
17.2,3.9,35,22.0,16,E10,0,0.23,1.38,6.0
16.6,4.6,50,22.0,25,E10,0,0.28,0.88,-3.0
18.3,4.3,46,22.0,16,SP98,0,0.23,1.38,6.0
16.1,4.8,36,22.0,18,SP98,0,0.3,1.22,4.0
16.0,4.1,46,22.0,17,SP98,0,0.26,1.29,5.0
16.3,4.0,35,22.0,23,SP98,0,0.25,0.96,-1.0
16.0,3.7,44,22.0,16,SP98,0,0.23,1.38,6.0
18.3,4.3,46,22.0,23,SP98,0,0.23,0.96,-1.0
4.5,5.2,23,22.0,23,SP98,0,1.16,0.96,-1.0
17.0,4.2,48,22.0,16,SP98,0,0.25,1.38,6.0
6.1,5.0,35,24.5,18,SP98,0,0.82,1.36,6.5
6.1,5.0,33,22.0,24,SP98,0,0.82,0.92,-2.0
17.3,4.2,36,22.0,22,SP98,0,0.24,1.0,0.0
6.0,4.8,27,22.0,17,SP98,0,0.8,1.29,5.0
16.0,4.1,45,22.0,15,SP98,0,0.26,1.47,7.0
15.4,4.9,55,22.0,18,SP98,0,0.32,1.22,4.0
15.4,4.3,39,22.0,23,SP98,0,0.28,0.96,-1.0
16.0,3.9,35,22.0,18,SP98,0,0.24,1.22,4.0
15.4,4.5,52,22.0,26,SP98,0,0.29,0.85,-4.0
16.6,4.1,48,25.5,30,SP98,1,0.25,0.85,-4.5
15.4,5.0,48,25.5,31,SP98,1,0.32,0.82,-5.5
16.0,4.0,43,22.0,21,SP98,1,0.25,1.05,1.0
15.4,4.5,42,22.0,30,SP98,0,0.29,0.73,-8.0
16.0,3.6,43,22.0,19,SP98,0,0.22,1.16,3.0
20.9,4.1,33,22.0,21,SP98,0,0.2,1.05,1.0
32.1,3.9,47,22.0,26,SP98,0,0.12,0.85,-4.0
15.3,6.6,16,24.0,27,SP98,1,0.43,0.89,-3.0
28.5,4.0,44,25.0,23,SP98,1,0.14,1.09,2.0
11.9,3.7,33,25.0,19,SP98,0,0.31,1.32,6.0
14.5,4.3,36,25.0,22,SP98,0,0.3,1.14,3.0
16.6,4.1,49,22.0,26,SP98,0,0.25,0.85,-4.0
16.2,4.4,39,24.5,17,SP98,1,0.27,1.44,7.5
16.7,3.8,44,24.5,23,SP98,0,0.23,1.07,1.5
8.3,5.0,52,24.5,27,SP98,0,0.6,0.91,-2.5
5.5,3.7,33,24.5,28,SP98,0,0.67,0.88,-3.5
13.6,3.7,33,24.5,28,SP98,0,0.27,0.88,-3.5
16.0,3.7,39,24.5,18,SP98,0,0.23,1.36,6.5
16.1,4.3,38,25.0,31,SP98,1,0.27,0.81,-6.0
16.0,3.8,45,25.0,19,SP98,0,0.24,1.32,6.0
15.4,4.6,42,25.0,31,SP98,1,0.3,0.81,-6.0
14.7,5.0,25,25.0,30,SP98,1,0.34,0.83,-5.0
